shapeISO,year,ftth_download_median_apr_dec_mbps
VN-HN,2021,58.68
VN-HN,2022,69.51
VN-HN,2023,90.13
VN-HN,2024,97.81
VN-03,2021,50.85
VN-03,2022,58.27
VN-03,2023,91.51
VN-03,2024,88.87
VN-04,2021,45.93
VN-04,2022,49.42
VN-04,2023,67.63
VN-04,2024,70.38
VN-53,2021,39.8
VN-53,2022,42.14
VN-53,2023,71.38
VN-53,2024,77.17
VN-07,2021,51.34
VN-07,2022,68.77
VN-07,2023,89.63
VN-07,2024,91.45
VN-02,2021,47.45
VN-02,2022,54.67
VN-02,2023,86.46
VN-02,2024,85.8
VN-71,2021,42.33
VN-71,2022,87.9
VN-71,2023,96.02
VN-71,2024,90.23
VN-01,2021,47.13
VN-01,2022,84.55
VN-01,2023,131.68
VN-01,2024,58.22
VN-05,2021,44.74
VN-05,2022,49.15
VN-05,2023,94.34
VN-05,2024,55.48
VN-06,2021,47.46
VN-06,2022,49.15
VN-06,2023,70.97
VN-06,2024,86.14
VN-14,2021,50.11
VN-14,2022,77.05
VN-14,2023,90.13
VN-14,2024,83.21
VN-69,2021,49.53
VN-69,2022,50.72
VN-69,2023,87.71
VN-69,2024,76.48
VN-09,2021,41.98
VN-09,2022,44.41
VN-09,2023,75.19
VN-09,2024,82.4
VN-13,2021,51.61
VN-13,2022,51.28
VN-13,2023,76.45
VN-13,2024,91.21
VN-54,2021,47.17
VN-54,2022,61.09
VN-54,2023,84.09
VN-54,2024,84.7
VN-68,2021,50.01
VN-68,2022,57.65
VN-68,2023,83.35
VN-68,2024,85.94
VN-70,2021,48.07
VN-70,2022,61.33
VN-70,2023,81.7
VN-70,2024,93.18
VN-56,2021,53.02
VN-56,2022,60.26
VN-56,2023,89.51
VN-56,2024,92.46
VN-61,2021,50.11
VN-61,2022,55.0
VN-61,2023,79.21
VN-61,2024,89.67
VN-HP,2021,51.2
VN-HP,2022,52.24
VN-HP,2023,81.3
VN-HP,2024,92.66
VN-66,2021,52.3
VN-66,2022,53.11
VN-66,2023,85.27
VN-66,2024,91.14
VN-20,2021,48.23
VN-20,2022,65.4
VN-20,2023,91.43
VN-20,2024,90.64
VN-63,2021,44.01
VN-63,2022,44.79
VN-63,2023,72.14
VN-63,2024,88.82
VN-67,2021,49.18
VN-67,2022,61.29
VN-67,2023,92.84
VN-67,2024,86.54
VN-18,2021,49.39
VN-18,2022,67.65
VN-18,2023,89.6
VN-18,2024,82.72
VN-21,2021,45.51
VN-21,2022,62.13
VN-21,2023,81.17
VN-21,2024,77.42
VN-22,2021,44.46
VN-22,2022,41.2
VN-22,2023,63.03
VN-22,2024,74.21
VN-23,2021,43.96
VN-23,2022,47.36
VN-23,2023,73.96
VN-23,2024,81.82
VN-24,2021,41.15
VN-24,2022,55.21
VN-24,2023,95.56
VN-24,2024,83.41
VN-25,2021,41.13
VN-25,2022,48.15
VN-25,2023,77.06
VN-25,2024,88.96
VN-26,2021,49.46
VN-26,2022,49.14
VN-26,2023,83.35
VN-26,2024,92.18
VN-DN,2021,53.9
VN-DN,2022,65.43
VN-DN,2023,91.65
VN-DN,2024,99.22
VN-27,2021,45.9
VN-27,2022,55.13
VN-27,2023,81.03
VN-27,2024,94.18
VN-29,2021,45.4
VN-29,2022,59.09
VN-29,2023,98.88
VN-29,2024,93.47
VN-31,2021,45.01
VN-31,2022,52.2
VN-31,2023,83.51
VN-31,2024,84.05
VN-38,2021,45.31
VN-38,2022,46.49
VN-38,2023,71.0
VN-38,2024,80.88
VN-34,2021,48.95
VN-34,2022,62.44
VN-34,2023,91.17
VN-34,2024,89.38
VN-36,2021,46.58
VN-36,2022,78.62
VN-36,2023,108.12
VN-36,2024,91.18
VN-40,2021,47.43
VN-40,2022,61.21
VN-40,2023,89.07
VN-40,2024,92.26
VN-28,2021,48.34
VN-28,2022,49.72
VN-28,2023,74.96
VN-28,2024,76.45
VN-30,2021,51.09
VN-30,2022,71.79
VN-30,2023,93.6
VN-30,2024,95.5
VN-33,2021,48.96
VN-33,2022,49.31
VN-33,2023,81.39
VN-33,2024,91.3
VN-72,2021,46.85
VN-72,2022,49.61
VN-72,2023,76.64
VN-72,2024,72.04
VN-35,2021,51.36
VN-35,2022,56.59
VN-35,2023,86.53
VN-35,2024,90.23
VN-58,2021,48.79
VN-58,2022,53.88
VN-58,2023,86.63
VN-58,2024,98.82
VN-37,2021,53.28
VN-37,2022,75.32
VN-37,2023,98.61
VN-37,2024,97.68
VN-57,2021,54.48
VN-57,2022,65.7
VN-57,2023,96.16
VN-57,2024,101.22
VN-39,2021,51.83
VN-39,2022,77.3
VN-39,2023,97.37
VN-39,2024,108.01
VN-43,2021,49.3
VN-43,2022,58.57
VN-43,2023,89.33
VN-43,2024,99.83
VN-SG,2021,58.16
VN-SG,2022,74.93
VN-SG,2023,95.97
VN-SG,2024,105.13
VN-41,2021,47.73
VN-41,2022,68.07
VN-41,2023,89.69
VN-41,2024,92.83
VN-46,2021,47.64
VN-46,2022,58.32
VN-46,2023,95.23
VN-46,2024,97.15
VN-50,2021,47.08
VN-50,2022,61.52
VN-50,2023,99.31
VN-50,2024,93.4
VN-51,2021,45.63
VN-51,2022,52.45
VN-51,2023,85.8
VN-51,2024,89.65
VN-49,2021,47.05
VN-49,2022,56.41
VN-49,2023,81.65
VN-49,2024,94.54
VN-45,2021,45.78
VN-45,2022,52.58
VN-45,2023,87.35
VN-45,2024,90.65
VN-44,2021,47.82
VN-44,2022,57.67
VN-44,2023,92.45
VN-44,2024,99.64
VN-47,2021,48.4
VN-47,2022,62.15
VN-47,2023,89.02
VN-47,2024,97.49
VN-CT,2021,49.27
VN-CT,2022,66.29
VN-CT,2023,94.9
VN-CT,2024,99.36
VN-73,2021,44.35
VN-73,2022,62.4
VN-73,2023,96.93
VN-73,2024,98.65
VN-52,2021,49.01
VN-52,2022,67.25
VN-52,2023,98.6
VN-52,2024,97.1
VN-55,2021,49.42
VN-55,2022,67.18
VN-55,2023,97.3
VN-55,2024,98.68
VN-59,2021,46.71
VN-59,2022,57.44
VN-59,2023,90.28
VN-59,2024,97.33
